@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0'

@attribute Product_Category {'Traditional Wear',Outerwear,Athleisure,Bottoms,Tops}
@attribute Brand {'Forever 21',Wrangler,Uniqlo,Reebok,Gucci,'Louis Vuitton','Calvin Klein',Zara,Diesel,Versace,Levi’s,Balenciaga,Puma,'Under Armour',Adidas,'Ralph Lauren',GAP,Nike,'Tommy Hilfiger',H&M}
@attribute Product_Name {Tops,Hoodie,Trousers,Skirt,T-Shirt,Leggings,Shorts,'Polo Shirt',Palazzo,Dress,Jeans,Saree,'Casual Shirt',Sweatshirt,'Formal Shirt',Jacket,Jumpsuit,Kurta,'Track Pants',Blazer}
@attribute Gender {Women,Men}
@attribute Size {S,M,XXL,XL,L}
@attribute Color {White,Purple,Orange,Pink,Green,Blue,Black,Red,Yellow}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Cost_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Total_Sales {Medium,High,'Very High',Low}
@attribute Stock_Availability {Medium,High,Low}
@attribute Customer_Age {Elder,Senior,Adult,Teen}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Return_Rate {High,Low,Medium}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Outerwear,GAP,'Formal Shirt',Women,XXL,Orange,Summer,Cash,New,Medium,Medium,Small,Medium,Medium,Low,Teen,Moderate,Average,High,Medium,'Low Sales'
Athleisure,Diesel,'Formal Shirt',Women,XL,Pink,Summer,UPI,New,Medium,Medium,Moderate,Medium,High,Medium,Adult,Moderate,Excellent,Medium,Medium,'Low Sales'
Bottoms,Gucci,'Formal Shirt',Women,XL,Purple,All-Season,Cash,New,Medium,Medium,Large,High,Medium,Low,Elder,Moderate,Average,Low,Medium,'Low Sales'
'Traditional Wear','Calvin Klein',Saree,Women,XL,Blue,All-Season,Card,New,Low,Medium,Small,'Very Low',Medium,High,Adult,Moderate,Poor,High,Low,'Low Sales'
Outerwear,Zara,'Polo Shirt',Women,XL,White,All-Season,Card,New,Medium,Medium,Small,High,Medium,Medium,Senior,Moderate,Average,High,Medium,'Low Sales'
Bottoms,Balenciaga,Kurta,Men,XL,Black,All-Season,'Net Banking',New,Medium,Medium,Moderate,Low,High,Medium,Senior,Moderate,Average,Low,Low,'Low Sales'
'Traditional Wear',Puma,Leggings,Men,XL,Red,Summer,'Net Banking',Returning,Low,Medium,Moderate,'Very Low',Medium,Low,Teen,Moderate,Excellent,Low,Medium,'Low Sales'
Outerwear,Balenciaga,Sweatshirt,Men,M,Purple,Winter,Card,New,Medium,Medium,Large,'Very Low',Medium,Medium,Adult,Infrequent,Average,High,Medium,'Low Sales'
'Traditional Wear',Versace,Dress,Men,L,Red,All-Season,UPI,Returning,Medium,Medium,Moderate,High,Medium,High,Teen,Infrequent,Poor,High,Medium,'Low Sales'
'Traditional Wear','Louis Vuitton',Hoodie,Women,S,Green,Winter,Cash,Returning,High,Medium,Large,High,High,Medium,Teen,Frequent,Average,Low,Medium,'Low Sales'
Athleisure,'Forever 21',Skirt,Women,XL,Black,Winter,Cash,Returning,Medium,Medium,Large,'Very Low',High,High,Teen,Moderate,Poor,High,Medium,'Low Sales'
Bottoms,'Calvin Klein',Sweatshirt,Women,S,Orange,Summer,'Net Banking',New,Medium,Medium,Small,'Very Low',Medium,High,Adult,Moderate,Poor,High,Medium,'Low Sales'
Athleisure,Adidas,'Polo Shirt',Men,L,Pink,All-Season,'Net Banking',Returning,Medium,Medium,Small,'Very Low',Medium,Low,Teen,Moderate,Poor,Medium,Medium,'Low Sales'
'Traditional Wear','Tommy Hilfiger',Trousers,Men,XXL,Purple,Winter,Cash,Returning,Medium,Medium,Moderate,High,Medium,Low,Senior,Moderate,Excellent,High,Medium,'Low Sales'
'Traditional Wear',Zara,Palazzo,Men,S,White,Summer,'Net Banking',New,Medium,Medium,Small,High,High,High,Elder,Moderate,Excellent,Low,Medium,'Low Sales'
'Traditional Wear',Balenciaga,'Formal Shirt',Men,XXL,White,Summer,Card,New,Medium,Medium,Moderate,High,High,Medium,Adult,Moderate,Poor,Low,Medium,'Low Sales'
'Traditional Wear',Balenciaga,Hoodie,Women,XL,Pink,All-Season,Cash,New,Medium,Medium,Moderate,Medium,High,Medium,Adult,Moderate,Excellent,High,Medium,'Low Sales'
Tops,Adidas,Jacket,Women,M,White,All-Season,UPI,New,Medium,Low,Moderate,'Very Low',High,Medium,Teen,Moderate,Excellent,High,Medium,'Low Sales'
Tops,'Calvin Klein',Sweatshirt,Women,XXL,Black,Winter,Cash,New,Medium,Medium,Moderate,'Very Low',Medium,High,Senior,Infrequent,Poor,High,Medium,'Low Sales'
Outerwear,H&M,T-Shirt,Men,M,Orange,All-Season,'Net Banking',Returning,Low,Medium,Moderate,High,High,Medium,Adult,Infrequent,Average,Low,Medium,'Low Sales'
Athleisure,Nike,Palazzo,Men,L,Black,Winter,'Net Banking',Returning,Medium,Medium,Small,Low,High,Low,Senior,Moderate,Average,Low,Medium,'Low Sales'
Tops,Wrangler,Trousers,Women,XL,Green,All-Season,'Net Banking',New,Medium,Medium,Moderate,Medium,High,High,Teen,Moderate,Excellent,Low,Medium,'Low Sales'
Athleisure,Nike,T-Shirt,Women,L,Orange,Winter,Cash,New,High,Medium,Large,Medium,Medium,Low,Teen,Infrequent,Excellent,High,Medium,'Low Sales'
'Traditional Wear',Versace,'Track Pants',Men,XXL,Blue,All-Season,Cash,New,Medium,Medium,Small,High,Medium,Medium,Elder,Moderate,Poor,Medium,Medium,'Low Sales'
Bottoms,GAP,Jumpsuit,Women,XXL,Red,Winter,Cash,Returning,Low,Low,Large,Low,Medium,High,Senior,Moderate,Average,High,Medium,'Low Sales'
Tops,'Tommy Hilfiger',Tops,Women,M,White,All-Season,Cash,New,Medium,Medium,Small,Medium,High,Low,Elder,Moderate,Average,Medium,Medium,'Low Sales'
Bottoms,'Under Armour','Track Pants',Men,L,Blue,All-Season,'Net Banking',New,Medium,Medium,Large,Medium,Medium,High,Adult,Moderate,Excellent,Medium,Medium,'Low Sales'
Athleisure,Gucci,Trousers,Women,L,Blue,All-Season,'Net Banking',Returning,Medium,Medium,Moderate,Medium,Medium,High,Elder,Moderate,Excellent,Low,Medium,'Low Sales'
Athleisure,'Forever 21',Leggings,Women,XXL,Red,Winter,Cash,New,Medium,Medium,Moderate,Medium,Low,Low,Elder,Moderate,Excellent,High,Medium,'Low Sales'
Tops,GAP,Saree,Men,XXL,Blue,Winter,Card,Returning,Medium,Medium,Moderate,Medium,Medium,Low,Adult,Moderate,Poor,High,Medium,'Low Sales'
Athleisure,Puma,Saree,Women,S,Purple,Winter,Cash,Returning,Medium,Medium,Small,'Very Low',High,Medium,Teen,Moderate,Excellent,High,Medium,'Low Sales'
'Traditional Wear',Adidas,Leggings,Women,S,Purple,All-Season,Cash,New,Medium,Medium,Large,Low,High,High,Elder,Moderate,Poor,Low,Medium,'Low Sales'
Bottoms,Zara,'Formal Shirt',Women,M,Pink,Winter,Card,New,Medium,Medium,Small,Low,Medium,High,Elder,Infrequent,Excellent,High,Medium,'Low Sales'
'Traditional Wear',Adidas,Jeans,Men,XXL,Pink,Winter,Cash,New,Medium,Medium,Moderate,Medium,Medium,Medium,Elder,Infrequent,Excellent,Medium,Medium,'Low Sales'
Tops,Uniqlo,Kurta,Women,XL,Pink,All-Season,UPI,New,Medium,Medium,Large,Low,Medium,Medium,Senior,Moderate,Excellent,Medium,Medium,'Low Sales'
Outerwear,Balenciaga,Jacket,Men,XL,Black,Winter,Card,Returning,Medium,Medium,Large,'Very Low',Medium,High,Adult,Moderate,Excellent,High,Medium,'Low Sales'
'Traditional Wear','Forever 21','Formal Shirt',Men,L,Black,All-Season,UPI,New,Medium,Medium,Small,Low,Medium,Medium,Teen,Moderate,Excellent,High,Medium,'Low Sales'
Athleisure,Uniqlo,Leggings,Women,XL,Yellow,All-Season,Cash,New,Medium,Medium,Large,Medium,Medium,High,Teen,Moderate,Excellent,Medium,Medium,'Low Sales'
Bottoms,Balenciaga,'Polo Shirt',Women,XL,Blue,Winter,Cash,Returning,Medium,Low,Moderate,Medium,Medium,Low,Teen,Moderate,Poor,Medium,Medium,'Low Sales'
Tops,Gucci,Dress,Women,L,Purple,Summer,'Net Banking',Returning,Medium,Medium,Small,Low,Medium,Low,Senior,Moderate,Excellent,Medium,Medium,'Low Sales'
Tops,'Under Armour',Shorts,Women,S,Red,Summer,Cash,New,Medium,Medium,Small,'Very Low',Medium,Low,Senior,Moderate,Average,Medium,Medium,'Low Sales'
Outerwear,Versace,Tops,Men,S,Black,Summer,Card,Returning,Medium,Medium,Small,High,Medium,Low,Adult,Moderate,Poor,Low,Medium,'Low Sales'
'Traditional Wear',Balenciaga,Hoodie,Men,XL,White,Summer,Card,Returning,Medium,Medium,Small,Medium,High,Medium,Teen,Moderate,Poor,Low,Medium,'Low Sales'
Bottoms,'Forever 21',Jeans,Men,S,Red,All-Season,Card,New,Low,Medium,Moderate,'Very Low',Medium,Medium,Adult,Moderate,Average,Medium,Medium,'Low Sales'
Outerwear,'Tommy Hilfiger',Jeans,Men,XL,Blue,All-Season,Cash,New,Medium,Medium,Large,'Very Low',Medium,Medium,Adult,Moderate,Average,High,Medium,'Low Sales'
Tops,Gucci,T-Shirt,Women,M,Orange,All-Season,UPI,Returning,Medium,Medium,Large,Medium,Medium,Low,Senior,Moderate,Excellent,Medium,Medium,'Low Sales'
Athleisure,Balenciaga,Leggings,Men,M,Blue,Summer,Card,Returning,Medium,Medium,Small,Medium,Medium,Medium,Adult,Moderate,Excellent,Medium,Medium,'Low Sales'
'Traditional Wear',H&M,Blazer,Men,S,Black,Winter,Card,New,High,Medium,Moderate,Medium,High,Low,Adult,Moderate,Poor,High,Medium,'Low Sales'
Athleisure,Balenciaga,Jumpsuit,Women,XXL,Yellow,All-Season,Card,New,High,Medium,Large,'Very Low',Medium,Medium,Adult,Moderate,Average,High,Medium,'Low Sales'
Bottoms,Wrangler,Shorts,Women,S,Yellow,Winter,Cash,Returning,Medium,Medium,Large,'Very Low',Medium,Low,Elder,Moderate,Poor,Low,Medium,'Low Sales'
Outerwear,Zara,'Formal Shirt',Women,S,Blue,Winter,Card,Returning,Medium,Medium,Large,High,High,Medium,Adult,Moderate,Average,Low,Medium,'Low Sales'
Bottoms,Diesel,'Formal Shirt',Men,S,Black,All-Season,Card,Returning,Medium,Medium,Moderate,'Very Low',Medium,High,Senior,Infrequent,Excellent,High,Medium,'Low Sales'
Tops,Levi’s,Sweatshirt,Men,XXL,White,All-Season,'Net Banking',New,Medium,Medium,Small,High,High,Low,Teen,Moderate,Excellent,Low,Medium,'Low Sales'
Athleisure,Levi’s,Skirt,Men,XXL,Orange,Winter,'Net Banking',Returning,Medium,Low,Moderate,High,High,Low,Teen,Infrequent,Poor,High,Medium,'Low Sales'
Bottoms,'Under Armour',Saree,Men,M,Green,All-Season,UPI,New,Medium,Medium,Small,Medium,'Very High',High,Elder,Moderate,Average,Low,Medium,'Low Sales'
Athleisure,'Ralph Lauren',Jumpsuit,Women,M,Orange,Winter,UPI,Returning,High,Medium,Large,High,High,Low,Senior,Moderate,Excellent,Low,High,'Low Sales'
Tops,Gucci,Blazer,Men,S,Orange,Winter,'Net Banking',New,Medium,Medium,Large,'Very Low',Medium,Low,Teen,Moderate,Average,High,Medium,'Low Sales'
Athleisure,Gucci,Jeans,Women,M,Green,Summer,Cash,New,Medium,Medium,Large,High,Medium,Medium,Adult,Moderate,Average,Medium,Medium,'Low Sales'
'Traditional Wear',Balenciaga,Saree,Men,S,Orange,Summer,'Net Banking',Returning,Medium,Medium,Small,Medium,Medium,Low,Teen,Moderate,Average,Medium,Medium,'Low Sales'
'Traditional Wear','Forever 21',Shorts,Men,M,Red,Summer,'Net Banking',Returning,Medium,High,Small,'Very Low',High,Low,Teen,Frequent,Average,High,Medium,'Low Sales'
'Traditional Wear',Diesel,Blazer,Women,S,White,Winter,UPI,New,Medium,Medium,Small,Medium,Medium,High,Adult,Moderate,Poor,High,Low,'Low Sales'
Outerwear,Nike,Skirt,Men,M,Blue,Winter,Cash,Returning,Low,Medium,Moderate,'Very Low',High,Medium,Elder,Moderate,Excellent,High,Medium,'Low Sales'
Outerwear,Diesel,Tops,Women,XXL,Red,Summer,Card,New,Low,Medium,Moderate,'Very Low',Medium,High,Senior,Infrequent,Excellent,Low,Medium,'Low Sales'
'Traditional Wear',Adidas,Palazzo,Men,XL,Purple,Summer,UPI,Returning,Medium,Medium,Large,High,Medium,Low,Adult,Moderate,Poor,Medium,Medium,'Low Sales'
Tops,'Forever 21',Kurta,Men,S,Orange,Winter,UPI,New,Low,Medium,Large,High,Medium,Low,Teen,Moderate,Average,Low,Medium,'Low Sales'
Outerwear,Wrangler,Shorts,Men,S,Yellow,Winter,Card,New,Medium,Medium,Moderate,'Very Low',High,High,Elder,Moderate,Poor,Medium,Medium,'Low Sales'
Athleisure,Gucci,'Polo Shirt',Women,XL,Red,Winter,'Net Banking',New,Medium,Medium,Moderate,Medium,Medium,High,Elder,Moderate,Average,High,Medium,'Low Sales'
Athleisure,Puma,Skirt,Women,L,Black,All-Season,'Net Banking',New,Medium,Medium,Moderate,'Very Low',Medium,High,Adult,Moderate,Poor,Low,Medium,'Low Sales'
Outerwear,'Under Armour',Leggings,Men,L,Black,All-Season,'Net Banking',New,Medium,Medium,Moderate,Medium,Medium,Low,Elder,Moderate,Poor,Medium,Medium,'Low Sales'
Athleisure,Diesel,'Track Pants',Men,L,Blue,All-Season,Cash,Returning,Medium,Medium,Small,'Very Low',High,High,Senior,Moderate,Excellent,High,Medium,'Low Sales'
Tops,'Ralph Lauren','Formal Shirt',Women,XXL,Black,Summer,Card,New,Medium,Medium,Moderate,'Very Low',Medium,High,Senior,Moderate,Poor,Low,Medium,'Low Sales'
Athleisure,Gucci,Kurta,Women,XL,Green,Summer,'Net Banking',New,Medium,Medium,Large,Low,Medium,Low,Adult,Moderate,Average,Low,Medium,'Low Sales'
Tops,Uniqlo,Palazzo,Women,L,Black,All-Season,'Net Banking',Returning,Medium,Medium,Small,Medium,High,High,Teen,Moderate,Poor,Low,Medium,'Low Sales'
Bottoms,'Calvin Klein',Trousers,Women,XXL,Orange,Summer,UPI,Returning,Low,Medium,Large,'Very Low',Medium,High,Teen,Moderate,Poor,Medium,Medium,'Low Sales'
'Traditional Wear','Forever 21',Saree,Men,XL,Yellow,All-Season,Cash,New,Medium,Medium,Small,Medium,High,Medium,Adult,Moderate,Average,Medium,Medium,'Low Sales'
Bottoms,'Calvin Klein',Blazer,Men,M,Green,Winter,Cash,New,Medium,Medium,Small,High,Medium,Medium,Elder,Infrequent,Average,Low,Medium,'Low Sales'
Bottoms,'Louis Vuitton',Jumpsuit,Women,L,Purple,All-Season,Card,Returning,Medium,Medium,Moderate,High,High,High,Teen,Moderate,Poor,High,Medium,'Low Sales'
Bottoms,'Ralph Lauren',Leggings,Men,S,Purple,All-Season,Card,New,Medium,Medium,Large,Medium,Medium,Low,Elder,Infrequent,Average,Medium,Medium,'Low Sales'
Outerwear,Puma,Shorts,Women,XXL,Red,All-Season,Card,Returning,Low,Medium,Small,Low,Medium,Low,Senior,Moderate,Excellent,Medium,Low,'Low Sales'
'Traditional Wear',Balenciaga,Jumpsuit,Men,S,Pink,Summer,UPI,New,Medium,Medium,Small,High,Medium,Medium,Senior,Moderate,Poor,Low,Medium,'Low Sales'
'Traditional Wear',H&M,T-Shirt,Women,L,Purple,All-Season,Card,New,Medium,Medium,Large,Low,Medium,Low,Elder,Moderate,Excellent,Medium,Medium,'Low Sales'
Outerwear,'Tommy Hilfiger',Jacket,Men,L,Purple,Summer,Cash,Returning,Medium,High,Moderate,High,Medium,Medium,Teen,Infrequent,Poor,Low,Medium,'Low Sales'
Athleisure,Diesel,Palazzo,Women,S,Purple,All-Season,'Net Banking',New,Medium,Medium,Large,High,High,High,Elder,Moderate,Average,Low,Medium,'Low Sales'
Athleisure,Nike,Tops,Men,XL,Black,All-Season,'Net Banking',New,Medium,Medium,Large,'Very Low',Medium,Medium,Teen,Moderate,Average,High,Medium,'Low Sales'
Outerwear,Versace,Leggings,Women,M,White,Summer,Cash,Returning,High,Low,Large,Low,Medium,Low,Elder,Moderate,Poor,Low,High,'Low Sales'
'Traditional Wear',Levi’s,Skirt,Women,XL,Black,Summer,'Net Banking',Returning,Low,Medium,Large,High,High,High,Adult,Moderate,Excellent,High,Medium,'Low Sales'
Bottoms,'Ralph Lauren',Jeans,Women,S,Pink,Summer,Card,New,Medium,Low,Small,Low,Medium,Low,Teen,Infrequent,Average,Medium,Medium,'Low Sales'
Bottoms,Uniqlo,Tops,Men,S,White,Winter,UPI,Returning,Medium,Medium,Small,'Very Low',Low,Medium,Elder,Moderate,Poor,Low,Medium,'Low Sales'
'Traditional Wear',Gucci,Kurta,Women,M,Orange,Summer,Cash,Returning,Medium,Medium,Small,'Very Low',Medium,Medium,Senior,Infrequent,Poor,Medium,Medium,'Low Sales'
Outerwear,Zara,Dress,Women,S,Green,Winter,Cash,New,Medium,Medium,Moderate,Low,Medium,Medium,Senior,Moderate,Poor,Medium,Medium,'Low Sales'
Tops,'Tommy Hilfiger',Dress,Men,L,Green,Winter,UPI,New,Medium,Low,Large,High,High,Medium,Adult,Moderate,Poor,Low,Medium,'Low Sales'
Outerwear,'Ralph Lauren',Jumpsuit,Men,S,Yellow,All-Season,Card,Returning,Medium,Medium,Small,'Very Low',High,Medium,Senior,Moderate,Poor,High,Medium,'Low Sales'
Outerwear,'Forever 21','Track Pants',Men,S,Black,Winter,UPI,New,Medium,Medium,Moderate,'Very Low',High,High,Senior,Moderate,Poor,Low,Medium,'Low Sales'
'Traditional Wear',Reebok,Leggings,Men,XXL,White,Summer,'Net Banking',New,Medium,Medium,Large,High,Low,Low,Senior,Moderate,Average,High,Medium,'Low Sales'
Tops,'Calvin Klein',Sweatshirt,Women,S,Orange,Winter,'Net Banking',New,Low,Medium,Large,'Very Low',High,Low,Adult,Moderate,Poor,High,Low,'Low Sales'
Tops,Gucci,Palazzo,Men,L,Purple,Summer,UPI,New,Medium,Low,Moderate,'Very Low',High,Medium,Adult,Moderate,Average,Medium,High,'Low Sales'
Outerwear,'Under Armour',Jeans,Women,S,Purple,All-Season,UPI,New,Medium,Medium,Small,'Very Low',Medium,Medium,Senior,Moderate,Average,Low,Medium,'Low Sales'
Athleisure,'Tommy Hilfiger',Saree,Women,XXL,Black,All-Season,Cash,New,Medium,Medium,Large,'Very Low',High,Medium,Senior,Moderate,Poor,Medium,Medium,'Low Sales'
Outerwear,Zara,Hoodie,Women,M,Pink,Winter,UPI,Returning,Medium,Medium,Moderate,'Very Low',Medium,Medium,Adult,Infrequent,Poor,Low,Low,'Low Sales'
Athleisure,'Louis Vuitton',Kurta,Women,S,Yellow,All-Season,UPI,New,Medium,Low,Small,High,Medium,Low,Elder,Moderate,Average,High,High,'Low Sales'
Tops,'Ralph Lauren','Polo Shirt',Women,XXL,Blue,Winter,UPI,New,Medium,Medium,Large,High,High,Medium,Adult,Moderate,Average,Low,Medium,'Low Sales'
Bottoms,'Ralph Lauren',Blazer,Men,M,Red,All-Season,Card,New,Medium,Medium,Large,Low,High,Medium,Elder,Moderate,Excellent,High,Medium,'Low Sales'
Bottoms,Versace,Dress,Men,M,Pink,Summer,Card,New,Medium,Medium,Large,Medium,Medium,High,Senior,Infrequent,Poor,High,Medium,'Low Sales'
Athleisure,'Calvin Klein',Palazzo,Women,XXL,Orange,All-Season,Card,New,Medium,High,Moderate,'Very Low',Medium,High,Senior,Infrequent,Excellent,Low,Low,'Low Sales'
Bottoms,'Louis Vuitton','Formal Shirt',Men,XXL,Pink,All-Season,Card,Returning,Medium,Medium,Moderate,Low,Medium,Medium,Adult,Moderate,Poor,Low,Medium,'Low Sales'
'Traditional Wear',Reebok,'Casual Shirt',Women,XL,Green,All-Season,'Net Banking',Returning,Medium,Medium,Moderate,'Very Low',High,Medium,Adult,Moderate,Average,High,Medium,'Low Sales'
Athleisure,'Forever 21',T-Shirt,Women,L,Black,Winter,Card,New,Medium,Medium,Small,Medium,High,High,Senior,Moderate,Average,Low,Medium,'Low Sales'
Athleisure,Puma,Tops,Women,L,White,All-Season,'Net Banking',New,Medium,High,Large,High,Medium,High,Elder,Moderate,Average,Low,Medium,'Low Sales'
'Traditional Wear','Ralph Lauren',Jumpsuit,Men,XXL,Purple,Summer,Cash,Returning,Medium,Medium,Small,'Very Low',Medium,Low,Elder,Moderate,Poor,Medium,Medium,'Low Sales'
Bottoms,Reebok,Skirt,Women,S,Green,Summer,Card,New,Medium,Medium,Moderate,Low,High,Medium,Senior,Moderate,Excellent,Low,Medium,'Low Sales'
Athleisure,'Ralph Lauren',Skirt,Men,XXL,Green,All-Season,'Net Banking',New,Medium,Medium,Small,'Very Low',High,High,Teen,Moderate,Excellent,Low,Medium,'Low Sales'
Athleisure,Balenciaga,Shorts,Women,XXL,Orange,Summer,Cash,New,Medium,Medium,Moderate,Low,Medium,Medium,Teen,Moderate,Average,Medium,Medium,'Low Sales'
Outerwear,'Forever 21',Jeans,Men,XL,White,Summer,'Net Banking',Returning,Medium,Medium,Small,High,Medium,Medium,Adult,Moderate,Poor,High,Medium,'Low Sales'
Outerwear,Versace,Tops,Men,S,White,All-Season,Card,New,High,Medium,Moderate,Low,High,Medium,Elder,Infrequent,Average,Medium,Medium,'Low Sales'
Outerwear,'Louis Vuitton',Palazzo,Women,XXL,Orange,Winter,Card,Returning,Low,Medium,Moderate,High,High,High,Senior,Moderate,Average,High,Low,'Low Sales'
Outerwear,'Calvin Klein',Palazzo,Women,M,Pink,Winter,UPI,New,Medium,Medium,Large,Medium,High,High,Teen,Frequent,Excellent,Low,Medium,'Low Sales'
Bottoms,Nike,Skirt,Women,XL,Pink,Summer,'Net Banking',Returning,Medium,Medium,Large,High,Medium,Medium,Teen,Moderate,Poor,High,Medium,'Low Sales'
Tops,Diesel,Trousers,Men,S,Yellow,Summer,'Net Banking',Returning,High,Medium,Large,Medium,High,Medium,Elder,Moderate,Excellent,Medium,Medium,'Low Sales'
Outerwear,'Forever 21',Kurta,Women,L,Green,Winter,Cash,New,Medium,Medium,Moderate,'Very Low',High,High,Elder,Moderate,Average,Low,Medium,'Low Sales'
Outerwear,Balenciaga,Sweatshirt,Women,XL,Red,Winter,Card,New,Medium,Low,Moderate,High,High,Medium,Teen,Moderate,Average,High,Medium,'Low Sales'
Outerwear,Versace,Jacket,Women,XL,Purple,All-Season,'Net Banking',Returning,Medium,High,Large,'Very Low',High,Medium,Elder,Moderate,Average,Low,Medium,'Low Sales'
Bottoms,'Tommy Hilfiger',Saree,Women,S,White,All-Season,'Net Banking',New,Medium,Medium,Moderate,'Very Low',High,Medium,Senior,Moderate,Excellent,Low,Medium,'Low Sales'
Outerwear,'Calvin Klein','Track Pants',Men,S,Orange,Winter,Card,Returning,Medium,Medium,Large,Medium,High,High,Senior,Frequent,Average,High,Medium,'Low Sales'
Athleisure,'Calvin Klein','Formal Shirt',Men,S,Green,All-Season,'Net Banking',New,Medium,Medium,Small,Medium,High,Medium,Elder,Moderate,Excellent,Medium,Medium,'Low Sales'
Outerwear,H&M,Saree,Men,M,Orange,Summer,Card,New,Medium,Medium,Moderate,'Very Low',Medium,Low,Senior,Moderate,Excellent,Medium,Medium,'Low Sales'
Athleisure,Levi’s,Shorts,Men,XL,Orange,Winter,Card,Returning,Medium,Medium,Moderate,High,Medium,High,Senior,Moderate,Poor,Low,Medium,'Low Sales'
Athleisure,Gucci,Saree,Women,S,Pink,All-Season,'Net Banking',Returning,Medium,Medium,Moderate,'Very Low',High,Medium,Senior,Moderate,Average,High,Medium,'Low Sales'
Tops,Uniqlo,Saree,Women,L,White,Summer,'Net Banking',Returning,Medium,Medium,Large,'Very Low',Medium,Medium,Teen,Moderate,Poor,Low,Medium,'Low Sales'
Tops,Wrangler,'Casual Shirt',Men,S,Pink,Summer,'Net Banking',Returning,Medium,Medium,Large,'Very Low',High,Low,Senior,Moderate,Excellent,High,Medium,'Low Sales'
'Traditional Wear','Louis Vuitton',Jacket,Women,XXL,Orange,Summer,'Net Banking',Returning,Medium,Medium,Small,High,High,Low,Senior,Moderate,Average,High,Medium,'Low Sales'
Outerwear,Wrangler,Leggings,Men,XL,Yellow,All-Season,UPI,New,Medium,Medium,Small,Low,High,High,Elder,Moderate,Average,Low,Medium,'Low Sales'
Tops,Versace,Jumpsuit,Men,S,Green,All-Season,Cash,Returning,Medium,Medium,Small,'Very Low',Medium,High,Senior,Moderate,Average,High,Medium,'Low Sales'
Athleisure,Wrangler,T-Shirt,Men,XL,White,All-Season,Card,Returning,Medium,Medium,Small,Low,High,Medium,Adult,Moderate,Poor,High,Medium,'Low Sales'
Bottoms,Balenciaga,Sweatshirt,Men,M,Red,All-Season,Cash,New,Medium,Medium,Large,Low,Medium,High,Adult,Infrequent,Poor,High,Medium,'Low Sales'
'Traditional Wear',H&M,Skirt,Men,L,Blue,Winter,'Net Banking',New,Medium,Medium,Large,'Very Low',High,Medium,Elder,Moderate,Poor,Low,Medium,'Low Sales'
Athleisure,H&M,'Polo Shirt',Women,XXL,Yellow,Winter,Card,New,Medium,Medium,Moderate,High,Medium,High,Senior,Moderate,Excellent,High,Medium,'Low Sales'
Outerwear,Uniqlo,Sweatshirt,Men,XL,Green,Summer,Card,New,Medium,Medium,Large,'Very Low',High,High,Teen,Moderate,Average,Medium,Medium,'Low Sales'
Tops,H&M,Palazzo,Men,S,Purple,All-Season,UPI,New,Medium,Medium,Moderate,'Very Low',Medium,High,Adult,Moderate,Average,Medium,Medium,'Low Sales'
Outerwear,Puma,'Track Pants',Women,XL,Pink,Winter,Cash,Returning,Medium,Medium,Moderate,'Very Low',Medium,High,Elder,Moderate,Excellent,Low,Medium,'Low Sales'
Outerwear,Adidas,'Casual Shirt',Men,XL,Red,All-Season,UPI,Returning,Medium,High,Moderate,Low,Medium,Low,Elder,Moderate,Poor,High,Low,'Low Sales'
Tops,'Under Armour',T-Shirt,Men,S,Blue,Winter,'Net Banking',New,Medium,Medium,Large,Low,High,Low,Senior,Moderate,Excellent,Medium,Medium,'Low Sales'
Outerwear,Balenciaga,Shorts,Men,M,Pink,All-Season,'Net Banking',Returning,Low,Medium,Large,Medium,High,Low,Adult,Moderate,Excellent,Medium,Low,'Low Sales'
Bottoms,Reebok,'Formal Shirt',Men,L,Green,Winter,Cash,Returning,Medium,Medium,Small,'Very Low',Medium,Medium,Senior,Moderate,Excellent,Low,Low,'Low Sales'
Tops,Balenciaga,Shorts,Men,L,Blue,Summer,UPI,Returning,Medium,Medium,Large,'Very Low',High,Low,Teen,Infrequent,Excellent,Medium,Medium,'Low Sales'
Athleisure,Diesel,Tops,Men,XXL,Red,All-Season,Card,Returning,Medium,Medium,Moderate,'Very Low',Medium,Medium,Teen,Moderate,Excellent,Medium,Medium,'Low Sales'
'Traditional Wear',Reebok,Trousers,Men,S,White,Winter,Cash,New,Medium,Low,Large,High,Medium,Medium,Senior,Infrequent,Excellent,Low,Medium,'Low Sales'
'Traditional Wear',Levi’s,Jacket,Men,M,Black,Summer,UPI,New,Medium,Medium,Small,High,Medium,Low,Teen,Moderate,Average,High,Medium,'Low Sales'
